ID,Severity,Start_Time,City,Weather_Condition,Humidity,Visibility,Temperature,Wind_Speed,Sunrise_Sunset,Start_Lat,Start_Lng,Amenity,Bump,Crossing,Give_Way
A00000,2,2021-01-01 00:00:00,Chicago,Rain,86.69,9.96,9.97,28.6,Day,33.42268,-110.787508,False,True,False,False
A00001,4,2021-01-01 01:00:00,Houston,Snow,55.24,9.82,10.48,2.18,Night,38.096906,-101.218012,True,False,True,False
A00002,3,2021-01-01 02:00:00,Phoenix,Thunderstorm,44.19,6.67,38.91,5.97,Day,39.869654,-111.801781,False,False,False,False
A00003,2,2021-01-01 03:00:00,Los Angeles,Clear,40.75,8.14,-0.96,10.43,Day,34.228527,-90.502474,True,True,False,False
A00004,1,2021-01-01 04:00:00,Phoenix,Clear,35.57,7.29,29.96,18.61,Night,35.058037,-85.929698,True,True,True,True
A00005,1,2021-01-01 05:00:00,Los Angeles,Fog,24.61,6.14,6.71,16.34,Night,40.942456,-76.99584,True,False,False,True
A00006,1,2021-01-01 06:00:00,New York,Cloudy,47.4,1.01,26.54,3.77,Day,33.181095,-105.729635,False,True,True,True
A00007,3,2021-01-01 07:00:00,Los Angeles,Snow,41.62,4.82,11.0,8.69,Night,39.774544,-76.190707,True,False,False,True
A00008,2,2021-01-01 08:00:00,Chicago,Cloudy,97.31,6.91,18.92,7.16,Night,37.26396,-115.216442,True,False,False,False
A00009,3,2021-01-01 09:00:00,Houston,Fog,64.62,6.94,31.63,6.41,Day,37.020949,-91.46739,True,False,False,False
A00010,1,2021-01-01 10:00:00,New York,Clear,47.78,4.04,30.21,12.33,Day,33.063869,-115.48616,False,True,False,True
A00011,4,2021-01-01 11:00:00,Los Angeles,Cloudy,66.44,9.45,33.32,21.12,Day,40.374584,-78.673936,False,False,False,True
A00012,3,2021-01-01 12:00:00,Phoenix,Cloudy,31.14,2.09,-7.02,6.52,Night,36.238424,-94.688401,False,False,False,True
A00013,2,2021-01-01 13:00:00,New York,Clear,55.52,5.25,24.6,11.0,Night,37.866891,-88.548673,True,True,True,False
A00014,1,2021-01-01 14:00:00,New York,Snow,70.1,7.06,-3.0,11.73,Night,39.095706,-81.410747,False,False,True,False
A00015,1,2021-01-01 15:00:00,Los Angeles,Clear,59.11,7.12,10.79,29.29,Night,39.323666,-111.386333,False,False,False,False
A00016,2,2021-01-01 16:00:00,New York,Cloudy,52.14,6.66,17.43,28.64,Day,41.603821,-116.301971,True,False,False,True
A00017,2,2021-01-01 17:00:00,Phoenix,Snow,99.51,3.12,10.14,24.0,Night,37.78206,-79.32923,True,False,True,True
A00018,2,2021-01-01 18:00:00,New York,Snow,90.43,1.98,15.98,7.25,Day,36.597476,-104.142938,False,False,True,True
A00019,2,2021-01-01 19:00:00,Phoenix,Clear,69.87,6.54,39.83,2.04,Night,41.583333,-112.324928,False,False,False,True
A00020,2,2021-01-01 20:00:00,Los Angeles,Cloudy,65.55,6.19,-3.24,9.51,Night,38.778992,-97.387706,True,True,False,True
A00021,1,2021-01-01 21:00:00,Houston,Fog,69.65,2.2,23.77,8.0,Day,35.683353,-91.674533,False,False,False,False
A00022,2,2021-01-01 22:00:00,New York,Cloudy,36.1,7.2,9.8,15.18,Night,34.138178,-116.637293,True,False,False,False
A00023,2,2021-01-01 23:00:00,Houston,Rain,51.61,4.82,-3.35,23.33,Night,40.582991,-105.904591,True,True,False,False
